,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2
389,112,76.53905481646474,1.5,0.005280471538881,118.38690438550712,1.0,0.3598088361160992,209.5562194664151,1.5,0.0400655157057879,122.30531798656196,1.5,0.823036057307979,349.1158506384642,1.5,0.015936888804106,2.5,2.5,1.5
519,123,186.582907995383,1.0,0.1245980563509633,341.7131340773677,1.5,0.8145151120921809,141.7979543452135,1.0,0.0029340890512405,49.08492506725334,10.0,0.5043941755693497,74.99811082669028,10.0,0.0902571331654328,2.5,4.5,1.5
541,121,44.97617200251759,1.0,0.1541799316338626,315.5276192668044,10.0,0.278339366055879,320.9498970640969,1.0,0.0286415500416767,126.59444066527296,1.5,0.9999957525552492,246.04120003995075,1.0,0.526665394301292,3.5,2.5,1.5
335,127,98.612263723325,1.5,0.3042765701662959,49.17470001069878,1.5,0.582915049449835,76.14414085274461,1.5,0.1194529268098211,234.76028244118328,1.0,0.6528851884511752,178.00982812075625,1.0,0.7890733914269417,3.5,1.5,1.5
974,15,116.45312545941896,1.5,0.3303379272189258,191.66698504505663,10.0,0.6745788304037299,308.9363895353696,1.5,0.0649769664165547,51.506521918986735,1.5,0.4995391415585165,211.66102073879696,1.0,0.0502740952602199,1.5,1.5,4.5
52,16,56.91682043776957,10.0,0.2405206522995893,31.736049379840782,1.0,0.9649388721534324,170.72395319065842,10.0,0.0442590710124352,38.867024809131465,1.0,0.7680016864383311,320.7916350510498,1.0,0.6046025215169902,2.5,2.5,3.5
382,21,31.602058049928228,1.5,0.0021862777273677,268.0910544591402,1.5,0.8724227217030004,209.14153127415364,1.5,0.0299588501942072,153.7371379582121,1.0,0.2112780513043119,220.09326859031657,1.0,0.3596273947566825,1.5,2.5,1.5
815,3,70.80248474221139,1.0,0.2252311277227588,194.5052269029679,1.5,0.3096772206873577,156.4430975078066,10.0,0.0585628172478969,222.6885606786335,1.0,0.0523549303226853,157.9354638160545,1.0,0.995288871654332,3.5,3.5,1.5
569,35,110.29633459189311,10.0,0.0218631326078974,126.50061423731478,1.0,0.1119492508339283,289.8812306259404,1.0,0.1832369076030227,109.47447878488155,1.5,0.6011597721142372,33.93269702255041,10.0,0.3876976541336316,1.5,1.5,4.5
479,58,87.63809020585678,10.0,0.0106612819681239,294.1402133483985,1.5,0.8223223075506944,173.84084758293577,10.0,0.194059755967152,310.3700493095004,1.5,0.6330635934043092,304.61978371678674,1.5,0.4698222120600908,3.5,1.5,1.5
