,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,Total Expected Number of Deaths,Total Expected Annual Damage
389,3140928731.413084,0,1.825322622950469,4.980269575695919,5349765842.26829
519,2821894098.824987,0,1.8345956996319948,4.8068216042892535,4683803943.898704
541,2930145450.521865,0,1.8120742642112269,5.1096853636575865,5112205880.314688
335,3202786161.0035086,0,1.8059464819320858,4.3520270217190715,5012168742.156708
974,3063316118.295489,0,1.8030563081597588,4.836143202049479,5138342504.648525
52,2662148050.8318467,0,1.8234927683595807,4.973190249096062,4492956752.832609
382,3355105672.5648193,0,1.779386033977241,4.951031591347085,5720671632.354794
815,2745281587.9815063,0,1.8184922882777053,4.9892588276912155,4695672240.993631
569,3095141041.9813204,0,1.826583616787526,2.8091526627029806,3868590322.707656
479,3214537846.8221855,0,1.8142651410141875,2.8919566498533187,3956945219.5216837
